Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
1,3,2, Single Family,28212,23
2,3,2, Townhouse,28277,16
2,3,2, Single Family,28227,14
1,4,2, Single Family,28078,34
1,3,1, Single Family,28208,93
2,4,4, Single Family,28270,4
1,3,1, Single Family,28216,66
1,3,3, Single Family,28208,93
1,3,2, Single Family,28270,68
1,3,2, Single Family,28270,28
1,3,1, Single Family,28205,93
1,2,1, Single Family,28205,95
2,4,2, Single Family,28277,19
2,3,2, Single Family,28216,22
2,3,2, Single Family,28216,18
2,5,3, Single Family,28216,14
2,4,2, Single Family,28216,11
1,3,2, Single Family,28216,22
2,4,2, Single Family,28269,10
2,3,2, Single Family,28269,23
2,2,2, Condominium,28207,13
2,2,2, Townhouse,28205,20
2,3,2, Single Family,28205,32
1,2,2, Townhouse,28277,36
1,3,2, Single Family,28269,33
1,2,1, Single Family,28213,55
1,2,1, Single Family,28213,56
1,2,2, Condominium,28205,38
1,2,2, Townhouse,28215,20
2,2,2, Townhouse,28215,18
1,3,2, Single Family,28215,20
2,2,2, Single Family,28278,16
2,3,2, Single Family,28273,15
2,2,2, Single Family,28273,16
2,3,3, Single Family,28216,37
2,5,3, Single Family,28273,11
2,4,3, Single Family,28273,14
2,4,2, Single Family,28215,19
1,3,2, Single Family,28215,20
2,3,2, Single Family,28215,5
2,3,2, Single Family,28215,16
2,4,2, Single Family,28226,53
1,3,1, Single Family,28208,75
2,3,2, Single Family,28215,24
1,3,3, Single Family,28270,25
1,3,2, Single Family,28105,56
2,2,2, Townhouse,28031,16
2,2,2, Townhouse,28031,15
1,3,1, Single Family,28215,39
1,3,2, Single Family,28212,27
1,3,2, Single Family,28277,28
1,3,2, Single Family,28212,17
1,4,2, Single Family,28213,29
1,3,2, Single Family,28213,28
2,3,2, Single Family,28213,28
2,3,2, Single Family,28213,27
1,3,2, Single Family,28212,63
1,3,2, Single Family,28212,63
1,2,1, Single Family,28205,69
2,2,2, Townhouse,28227,23
2,4,2, Single Family,28270,18
