,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
557,28209,2.0,410000,4.0, Single Family,0
558,28216,2.0,425000,3.0, Single Family,0
559,28277,2.0,360000,4.0, Single Family,0
560,28277,2.0,380000,4.0, Single Family,0
561,28210,1.0,375000,3.0, Single Family,0
562,28210,1.0,430000,3.0, Single Family,0
563,28078,2.0,302500,3.0, Single Family,0
564,28078,1.5,238000,3.0, Single Family,0
565,28078,2.0,266000,3.0, Single Family,0
566,28078,2.0,215000,3.0, Single Family,0
567,28078,2.0,275000,3.0, Single Family,0
568,28078,2.0,240000,3.0, Single Family,0
569,28078,2.0,265000,3.0, Single Family,0
570,28078,2.0,360000,4.0, Single Family,0
571,28226,1.5,598500,4.0, Single Family,0
572,28226,2.0,925000,4.0, Single Family,0
573,28204,1.0,205000,2.0, Condominium,4
574,28214,2.0,156000,4.0, Single Family,0
575,28214,1.0,207000,3.0, Single Family,0
576,28227,1.0,163000,3.0, Single Family,3
577,28227,1.0,202000,3.0, Single Family,3
578,28227,2.0,200000,3.0, Single Family,3
579,28078,2.0,355000,4.0, Single Family,0
580,28214,2.0,550000,4.0, Single Family,0
581,28208,2.0,146000,4.0, Single Family,0
582,28207,2.0,1210000,5.0, Single Family,0
583,28207,1.5,995000,4.0, Single Family,0
584,28209,1.0,895000,3.0, Single Family,0
585,28209,1.5,940000,4.0, Single Family,0
586,28214,1.0,102500,3.0, Single Family,0
587,28208,1.0,145000,3.0, Single Family,0
588,28036,2.0,365000,3.0, Townhouse,4
589,28036,2.0,354000,3.0, Townhouse,4
590,28036,2.0,589000,5.0, Single Family,0
591,28213,2.0,214900,3.0, Single Family,0
